latitude_dd,longitude_dd,vdatum,member_name,site_id,site_no,description,networks,state,county,waterbody,horizontal_datum,perm_housing_installed,peak_summary_id,is_peak_estimated,is_peak_time_estimated,peak_stage,is_peak_stage_estimated,difference,isAbove
31.99174,-80.84691,NAVD88,Paul Ankcorn,17815,GACHA17815,Tybee Pier,South Atlantic,GA,Chatham County,Atlantic Ocean,,No,4853,0,0,8.77,0,0.24,1
32.00605,-80.841933,NAVD88,Paul Ankcorn,17816,GACHA17816,6th Street Beach ,,GA,Chatham County,Atlantic Ocean,,No,4860,1,1,10.83,1,2.3,1
32.008259,-80.849398,NAVD88,Paul Ankcorn,17817,GACHA17817,6th Street Culvert ,,GA,Chatham County,Horse Pen Creek,,No,4861,0,0,7.98,0,0.55,0
32.008416,-80.852459,NAVD88,Paul Ankcorn,17818,GACHA17818,Edge of marsh 171 South Campbell St,,GA,Chatham County,Unnamed tributary to Horse Pen Creek,,No,4862,0,0,8.02,0,0.51,0
32.018155,-80.850729,NAVD88,Paul Ankcorn,17820,GACHA17820,Hwy 80 ,"South Atlantic, Transects",GA,Chatham County,Unknown tidal creek,,No,4863,0,0,7.99,0,0.54,0
32.020659,-80.898999,NAVD88,Paul Ankcorn,17824,GACHA17824,Fort Pulaski bridge,South Atlantic,GA,Chatham County,South Channel Savannah River,,No,4864,0,0,8.53,0,0,0
32.003653,-80.960988,NAVD88,Paul Ankcorn,17838,GACHA17838,Bobwhite Rd,,GA,Chatham County,Unknown trib to Beard Creek,,No,4865,0,0,8.7,0,0.17,1
32.020124,-80.992438,NAVD88,Paul Ankcorn,17841,GACHA17841,Spence Grayson Bridge ,,GA,Chatham County,Turner creek,,No,4867,0,0,8.58,0,0.05,1
32.03515,-81.04504,NAVD88,Paul Ankcorn,17845,GACHA17845,Savannah Bend Marina,,GA,Chatham County,Wilmington River,,No,4868,0,0,8.7,0,0.17,1
32.09791,-81.09202,local control point,Paul Ankcorn,17850,GACHA17850,Hwy 17 bridge,South Atlantic,GA,Chatham County,Back River,,No,4870,0,0,8.14,0,0.39,0
32.08365,-81.15752,NAVD88,Paul Ankcorn,17851,GACHA17851,Culvert on Chatham Parkway,,GA,Chatham County,Unnamed canal to Savannah River,,No,4871,0,0,9.95,0,1.42,1
32.00773,-81.23827,NAVD88,Paul Ankcorn,17852,GACHA17852,Little Ogeechee River at Hwy 17 bridge,,GA,Chatham County,Little Ogeechee,,No,4872,0,0,6.81,0,1.72,0
32.10583,-81.19583,NAVD88,Paul Ankcorn,17858,GACHA17858,SSS-GA-CHT-008WL. Culvert site.,,GA,Chatham County,Unnamed canal to Savannah River,,No,4873,0,0,6.4,0,2.13,0
32.16083,-81.18278,NAVD88,Paul Ankcorn,17860,GACHA17860,SSS-GA-CHT-09aBP and SSS-GA-CHT-09aWL,,GA,Chatham County,Unnamed tributary to St Augustine Creek,,No,4874,0,0,7.72,0,0.81,0
31.95769,-81.01062,NAVD88,Paul Ankcorn,17861,GACHA17861,Landing Harbor Marina,,GA,Chatham County,Wilmington River,,No,4875,0,0,9.17,0,0.64,1
31.889711,-81.061614,NAVD88,Paul Ankcorn,17866,GACHA17866,Delegal Creek Marina,,GA,Chatham County,Delegal Creek,,No,4876,0,0,8.26,0,0.27,0
31.94677,-81.06678,NAVD88,Paul Ankcorn,17863,GACHA17863,Rodney Jay Hall Boat Ramp,,GA,Chatham County,Skidaway River,,No,4877,0,0,8.72,0,0.19,1
31.92868,-81.07017,NAVD88,Paul Ankcorn,17870,GACHA17870,Oakridge Golf Course.,,GA,Chatham County,Moon River,,No,4878,0,0,8.59,0,0.06,1
31.993084,-81.05603,NAVD88,Andy Caldwell,21079,GACHA21079,"315935081032201 HERB RIVER AT LAROCHE AVENUE, AT ISLE OF HOPE, GA",South Atlantic,GA,Chatham County,Herb River,,No,4980,0,0,8.64,1,0.11,1
